CdStationMesureEauxSurface;LbStationMesureEauxSurface;CdPointEauxSurf;CdSupport;LbSupport;DateDebutOperationPrelBio;CdListeFauFlor;LbListeFauFlor;CdTypListeFauFlor;MnTypListeFauFlor;CdTypTaxRep;MnTypTaxRep;CdAppelTaxon;NomLatinAppelTaxon;RsTaxRep;CdRqNbrTaxRep;MnemoRqNbrTaxRep;CdUniteMesure;SymUniteMesure;RefOperationPrelBio;CdProducteur;NomProducteur
05080890;La Garonne à Bourdelles;700;13;Macroinvertébrés aquatiques;2016-08-22;A;;;;1;NbrTax;1025;Menetus;17.0;1;Domaine de validité;X;X;1637701;18310006400033;AGENCE DE L'EAU ADOUR GARONNE
05080890;La Garonne à Bourdelles;700;13;Macroinvertébrés aquatiques;2016-08-22;A;;;;1;NbrTax;1028;Ancylus;8.0;1;Domaine de validité;X;X;1637701;18310006400033;AGENCE DE L'EAU ADOUR GARONNE
05080890;La Garonne à Bourdelles;700;13;Macroinvertébrés aquatiques;2016-08-22;A;;;;1;NbrTax;1051;Corbicula;47.0;1;Domaine de validité;X;X;1637701;18310006400033;AGENCE DE L'EAU ADOUR GARONNE
05080890;La Garonne à Bourdelles;700;13;Macroinvertébrés aquatiques;2016-08-22;A;;;;1;NbrTax;1055;Dugesiidae;3.0;1;Domaine de validité;X;X;1637701;18310006400033;AGENCE DE L'EAU ADOUR GARONNE
05080890;La Garonne à Bourdelles;700;13;Macroinvertébrés aquatiques;2016-08-22;A;;;;1;NbrTax;200;Hydroptila;1.0;1;Domaine de validité;X;X;1637701;18310006400033;AGENCE DE L'EAU ADOUR GARONNE
05080890;La Garonne à Bourdelles;700;13;Macroinvertébrés aquatiques;2016-08-22;A;;;;1;NbrTax;20361;Eriopterini;9.0;1;Domaine de validité;X;X;1637701;18310006400033;AGENCE DE L'EAU ADOUR GARONNE
05080890;La Garonne à Bourdelles;700;13;Macroinvertébrés aquatiques;2016-08-22;A;;;;1;NbrTax;231;Polycentropus;3.0;1;Domaine de validité;X;X;1637701;18310006400033;AGENCE DE L'EAU ADOUR GARONNE
05080890;La Garonne à Bourdelles;700;13;Macroinvertébrés aquatiques;2016-08-22;A;;;;1;NbrTax;2393;Hydroporinae;1.0;1;Domaine de validité;X;X;1637701;18310006400033;AGENCE DE L'EAU ADOUR GARONNE
05080890;La Garonne à Bourdelles;700;13;Macroinvertébrés aquatiques;2016-08-22;A;;;;1;NbrTax;317;Oecetis;2.0;1;Domaine de validité;X;X;1637701;18310006400033;AGENCE DE L'EAU ADOUR GARONNE
05080890;La Garonne à Bourdelles;700;13;Macroinvertébrés aquatiques;2016-08-22;A;;;;1;NbrTax;3326;Turbellaria;3.0;1;Domaine de validité;X;X;1637701;18310006400033;AGENCE DE L'EAU ADOUR GARONNE
05080890;La Garonne à Bourdelles;700;13;Macroinvertébrés aquatiques;2016-08-22;A;;;;1;NbrTax;387;Cloeon;1.0;1;Domaine de validité;X;X;1637701;18310006400033;AGENCE DE L'EAU ADOUR GARONNE
05080890;La Garonne à Bourdelles;700;13;Macroinvertébrés aquatiques;2016-08-22;A;;;;1;NbrTax;391;Procloeon bifidum;19.0;1;Domaine de validité;X;X;1637701;18310006400033;AGENCE DE L'EAU ADOUR GARONNE
05080890;La Garonne à Bourdelles;700;13;Macroinvertébrés aquatiques;2016-08-22;A;;;;1;NbrTax;457;Caenis;3.0;1;Domaine de validité;X;X;1637701;18310006400033;AGENCE DE L'EAU ADOUR GARONNE
05080890;La Garonne à Bourdelles;700;13;Macroinvertébrés aquatiques;2016-08-22;A;;;;1;NbrTax;474;Choroterpes;2.0;1;Domaine de validité;X;X;1637701;18310006400033;AGENCE DE L'EAU ADOUR GARONNE
05080890;La Garonne à Bourdelles;700;13;Macroinvertébrés aquatiques;2016-08-22;A;;;;1;NbrTax;581;Laccobius;1.0;1;Domaine de validité;X;X;1637701;18310006400033;AGENCE DE L'EAU ADOUR GARONNE
05080890;La Garonne à Bourdelles;700;13;Macroinvertébrés aquatiques;2016-08-22;A;;;;1;NbrTax;617;Stenelmis;3.0;1;Domaine de validité;X;X;1637701;18310006400033;AGENCE DE L'EAU ADOUR GARONNE
05080890;La Garonne à Bourdelles;700;13;Macroinvertébrés aquatiques;2016-08-22;A;;;;1;NbrTax;719;Micronecta;38.0;1;Domaine de validité;X;X;1637701;18310006400033;AGENCE DE L'EAU ADOUR GARONNE
05080890;La Garonne à Bourdelles;700;13;Macroinvertébrés aquatiques;2016-08-22;A;;;;1;NbrTax;807;Chironomidae;17.0;1;Domaine de validité;X;X;1637701;18310006400033;AGENCE DE L'EAU ADOUR GARONNE
05080890;La Garonne à Bourdelles;700;13;Macroinvertébrés aquatiques;2016-08-22;A;;;;1;NbrTax;870;Orconectes;1.0;1;Domaine de validité;X;X;1637701;18310006400033;AGENCE DE L'EAU ADOUR GARONNE
05080890;La Garonne à Bourdelles;700;13;Macroinvertébrés aquatiques;2016-08-22;A;;;;1;NbrTax;880;Asellidae;31.0;1;Domaine de validité;X;X;1637701;18310006400033;AGENCE DE L'EAU ADOUR GARONNE
05080890;La Garonne à Bourdelles;700;13;Macroinvertébrés aquatiques;2016-08-22;A;;;;1;NbrTax;888;Echinogammarus;1099.0;1;Domaine de validité;X;X;1637701;18310006400033;AGENCE DE L'EAU ADOUR GARONNE
05080890;La Garonne à Bourdelles;700;13;Macroinvertébrés aquatiques;2016-08-22;A;;;;1;NbrTax;928;Erpobdellidae;2.0;1;Domaine de validité;X;X;1637701;18310006400033;AGENCE DE L'EAU ADOUR GARONNE
05080890;La Garonne à Bourdelles;700;13;Macroinvertébrés aquatiques;2016-08-22;A;;;;1;NbrTax;933;Oligochaeta;2.0;1;Domaine de validité;X;X;1637701;18310006400033;AGENCE DE L'EAU ADOUR GARONNE
05080890;La Garonne à Bourdelles;700;13;Macroinvertébrés aquatiques;2016-08-22;A;;;;1;NbrTax;967;Theodoxus;162.0;1;Domaine de validité;X;X;1637701;18310006400033;AGENCE DE L'EAU ADOUR GARONNE
05080890;La Garonne à Bourdelles;700;13;Macroinvertébrés aquatiques;2016-08-22;A;;;;1;NbrTax;994;Bithynia;1.0;1;Domaine de validité;X;X;1637701;18310006400033;AGENCE DE L'EAU ADOUR GARONNE
05080890;La Garonne à Bourdelles;700;13;Macroinvertébrés aquatiques;2016-08-22;B;;;;1;NbrTax;1004;Radix;1.0;1;Domaine de validité;X;X;1637701;18310006400033;AGENCE DE L'EAU ADOUR GARONNE
05080890;La Garonne à Bourdelles;700;13;Macroinvertébrés aquatiques;2016-08-22;B;;;;1;NbrTax;1028;Ancylus;2.0;1;Domaine de validité;X;X;1637701;18310006400033;AGENCE DE L'EAU ADOUR GARONNE
05080890;La Garonne à Bourdelles;700;13;Macroinvertébrés aquatiques;2016-08-22;B;;;;1;NbrTax;1051;Corbicula;20.0;1;Domaine de validité;X;X;1637701;18310006400033;AGENCE DE L'EAU ADOUR GARONNE
05080890;La Garonne à Bourdelles;700;13;Macroinvertébrés aquatiques;2016-08-22;B;;;;1;NbrTax;1055;Dugesiidae;36.0;1;Domaine de validité;X;X;1637701;18310006400033;AGENCE DE L'EAU ADOUR GARONNE
