CdStationMesureEauxSurface;LbStationMesureEauxSurface;CdPrelevement;CoordXPrel;CoordYPrel;ProjectPrel;LibelléProjection;CdSupport;LbSupport;CdMethode;NomLongMethodePrel;DatePrel;HeurePrel;DateFinPrel;HeureFinPrel;CdZoneVerticaleProspectee;MnémoZoneVerticaleProspectée;ProfondeurPrel;CdDifficultePrel;MnemoDifficultePrel;CdAccredPrel;MnemoAccredPrel;AgrePrel;CdFinalitePrel;LbFinalitePrel;CommentairesPrel;CdRdd;NomRdd;CdProducteurPrelevement;NomProducteurPrelevement;CdPreleveur;NomPreleveur
05073000;La Garonne en aval de Bordeaux;1470420;;;26;RGF93 / Lambert 93;3;Eau;;;2018-10-15;09:10:00;;;;;;0;Difficultés inconnues;0;INCONNU;;0;Finalité inconnue;;0500000001;Réseau Complémentaire Agence Adour-Garonne;18310006400033;AGENCE DE L'EAU ADOUR GARONNE;20001318300021;SYNDICAT MIXTE QUALYSE
05073000;La Garonne en aval de Bordeaux;1471510;;;26;RGF93 / Lambert 93;3;Eau;;;2018-11-12;08:30:00;;;;;;0;Difficultés inconnues;0;INCONNU;;0;Finalité inconnue;;0500000001;Réseau Complémentaire Agence Adour-Garonne;18310006400033;AGENCE DE L'EAU ADOUR GARONNE;20001318300021;SYNDICAT MIXTE QUALYSE
05073000;La Garonne en aval de Bordeaux;1473771;;;26;RGF93 / Lambert 93;3;Eau;;;2018-12-10;09:30:00;;;;;;0;Difficultés inconnues;0;INCONNU;;0;Finalité inconnue;;0500000001;Réseau Complémentaire Agence Adour-Garonne;18310006400033;AGENCE DE L'EAU ADOUR GARONNE;20001318300021;SYNDICAT MIXTE QUALYSE
05073000;La Garonne en aval de Bordeaux;1502730;;;26;RGF93 / Lambert 93;3;Eau;;;2019-02-18;09:00:00;;;;;;0;Difficultés inconnues;0;INCONNU;;0;Finalité inconnue;;0500000001;Réseau Complémentaire Agence Adour-Garonne;18310006400033;AGENCE DE L'EAU ADOUR GARONNE;20001318300021;SYNDICAT MIXTE QUALYSE
05073000;La Garonne en aval de Bordeaux;1510833;;;26;RGF93 / Lambert 93;3;Eau;;;2019-06-17;09:00:00;;;;;;0;Difficultés inconnues;0;INCONNU;;0;Finalité inconnue;;0500000001;Réseau Complémentaire Agence Adour-Garonne;18310006400033;AGENCE DE L'EAU ADOUR GARONNE;20001318300021;SYNDICAT MIXTE QUALYSE
05073000;La Garonne en aval de Bordeaux;1515939;;;26;RGF93 / Lambert 93;3;Eau;;;2019-07-22;08:35:00;;;;;;0;Difficultés inconnues;0;INCONNU;;0;Finalité inconnue;;0500000001;Réseau Complémentaire Agence Adour-Garonne;18310006400033;AGENCE DE L'EAU ADOUR GARONNE;20001318300021;SYNDICAT MIXTE QUALYSE
05073000;La Garonne en aval de Bordeaux;1516141;;;26;RGF93 / Lambert 93;3;Eau;;;2019-08-19;08:45:00;;;;;;0;Difficultés inconnues;0;INCONNU;;0;Finalité inconnue;;0500000001;Réseau Complémentaire Agence Adour-Garonne;18310006400033;AGENCE DE L'EAU ADOUR GARONNE;20001318300021;SYNDICAT MIXTE QUALYSE
05073000;La Garonne en aval de Bordeaux;1517675;;;26;RGF93 / Lambert 93;3;Eau;;;2019-09-17;07:01:00;;;;;;0;Difficultés inconnues;0;INCONNU;;0;Finalité inconnue;;0500000001;Réseau Complémentaire Agence Adour-Garonne;18310006400033;AGENCE DE L'EAU ADOUR GARONNE;20001318300021;SYNDICAT MIXTE QUALYSE
05073000;La Garonne en aval de Bordeaux;1520247;;;26;RGF93 / Lambert 93;3;Eau;;;2019-10-14;09:00:00;;;;;;0;Difficultés inconnues;0;INCONNU;;0;Finalité inconnue;;0500000001;Réseau Complémentaire Agence Adour-Garonne;18310006400033;AGENCE DE L'EAU ADOUR GARONNE;20001318300021;SYNDICAT MIXTE QUALYSE
05073000;La Garonne en aval de Bordeaux;1521549;;;26;RGF93 / Lambert 93;3;Eau;;;2019-11-18;09:00:00;;;;;;0;Difficultés inconnues;0;INCONNU;;0;Finalité inconnue;;0500000001;Réseau Complémentaire Agence Adour-Garonne;18310006400033;AGENCE DE L'EAU ADOUR GARONNE;20001318300021;SYNDICAT MIXTE QUALYSE
